"id","verbatim","source_type","url","date","occurrences","notes"
"C-001","Drafting and executing service agreements and statements of work with new vendors is our biggest bottleneck","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","HN Ask 'manual processes to automate', user hentrep, pharma. Vendor contracting/SOW workflow with legal queue; asked for templates + request queue + status updates."
"C-002","It recently took me two months to get an $11/month pingdom account","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","Same HN thread, user pgroves, government org. Vendor approval/procurement of small SaaS: TOS review office, no credit cards, no recurring payments."
"C-003","Onboarding of new customers... nothing to even track the steps and things I do to get them set up","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User blakesterz, hosting SMB. Tried every task/project manager, all 'good enough' at best. Customer-onboarding checklist/runbook automation gap."
"C-004","One of the developers here types up instructions each time we install a new site","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User devopsproject. Per-customer setup (network folders) done by hand over remote sessions; hundreds of hours lost, script never prioritized."
"C-005","50+ employees and our DOO is failing at tracking who's working what and when... besides a spreadsheet or hearsay","indie","https://news.ycombinator.com/item?id=13337024","2017-01","2","User kylixz + codemac ('everyone ends up with JIRA + spreadsheets'). Cross-project staffing/resource allocation for services firms."
"C-006","We hire tons of ICs two times per year. We run into bottlenecks due to time on the phone during interviews","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User MooBah. Seasonal contractor hiring: repetitive phone screening at volume, no consistent way to screen."
"C-007","We take the docs, excel files, and charts into InDesign to create a nicely designed PDF... I need to automate this workflow","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User danraftis. Recurring branded long-document/report production (text+charts+tables); two commenters offered to build it = demand signal."
"C-008","Rates vary daily, so our salesperson has to stop the sales process to get a freight quotation","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User michael_michael, sells large equipment to food & spirits industry. Domestic pallet freight rate quoting/booking interrupts sales; 3PLs still require manual bids."
"C-009","Find a form or template... 'we worked on a deal pretty similar three months ago -- use that'","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User andrewfong, ex-BigLaw. Legal document assembly from ad-hoc templates + manual version tagging; billable-hour incentives block automation (enraged_camel)."
"C-010","It's really time-consuming and expensive to get decent terms of service/privacy policy out of your local lawyer","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User jehna1. SMB legal docs = copy-pasted template + 2 weeks back-and-forth email; liability question is the blocker to automation (blazespin)."
"C-011","Time tracking. The physical act of figuring out how much time was spent on X task for Y client and logging it","indie","https://news.ycombinator.com/item?id=13337024","2017-01","3","Users knieveltech, Corrado (auto-fill timesheets from commits/artifacts), crimsonalucard (logging Jira tempo hours). Agencies/consultancies billing-time capture."
"C-012","I wish a customer could press 'Price Quote' instead of 'Order' and get a PDF for their purchasing department","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User DougN7. B2B self-serve quote generation from order forms; 'would take a few hours but never prioritized'."
"C-013","I recently mostly automated refund calculations","indie","https://news.ycombinator.com/item?id=13337024","2017-01","1","User notwhereyouare. Refund computation as manual back-office task needing verification stage."
"C-014","Onboarding of new employees, expenses, security","indie","https://news.ycombinator.com/item?id=13337024","2017-01","2","OP anacleto + luisobo ('Offboarding'). HR on/offboarding checklists across tools/accesses."
