id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
C-023,desk options tourne sur du VBA de 1998 fragile et non maintenable,"responsable middle-office / IT d'un desk de trading d'options, société financière 10-100 personnes","traitement middle-office des opérations sur options (calculs, rapprochements, reporting)",Excel/VBA legacy;systèmes de marché;référentiels internes;compliance,niche,faible,dashboard,"500-1500 €/mois (budget IT finance), mais cycle de vente compliance lourd",1
C-026,"le POS doit s'intégrer à tout le back-office retail, rien ne communique","gérant de commerce de détail indépendant, 1-10 salariés","encaissement et back-office retail (stock, achats, compta)",POS;gestion de stock;comptabilité;catalogues fournisseurs,niche,faible,dashboard,80-150 €/mois,1
C-028,logiciel d'admin des contrôles d'accès biométriques de bureau catastrophique,"office manager / responsable des services généraux, PME de bureau 5-50 salariés","administration des accès bureaux (badges, empreintes, droits)",SDK matériel biométrique;annuaire RH;export logs,niche,faible,dashboard,20-50 €/mois,1
C-029,"pénurie de comptables, cabinet saturé sur la production courante","associé de petit cabinet d'expertise comptable (contexte US), 2-20 collaborateurs","production comptable courante (tenue, révision, déclarations)",logiciels compta (QuickBooks/Xero);flux bancaires;email;documents clients,niche,fort,mixte,200-500 €/mois par cabinet,1
C-030,atelier local ne peut pas traiter ni chiffrer les demandes CNC sur mesure,"gérant de scierie ou petit atelier d'usinage/menuiserie local, 1-10 salariés",prise de demande et chiffrage de devis de pièces sur mesure,email;fichiers plans/CAO;tarifs matières;calendrier atelier,niche,fort,conversationnel,50-100 €/mois,1
C-031,"outil niche racheté puis abandonné, utilisateurs orphelins (signal sourcing)",utilisateur pro d'un produit niche racheté (tout métier) — signal de sourcing plus qu'un acheteur unique,variable — dépend du produit orphelin (signal de stratégie de sourcing),dépend du produit remplacé,generique,faible,mixte,"équivalent à l'abonnement du produit abandonné (signal, pas une douleur achetable en soi)",1
C-032,back-office MSP tenu par des intégrations cousues main par consultant,"dirigeant de MSP / PME de services IT, 5-50 salariés",intégration du back-office (ticketing → facturation → compta → paie),PSA/ticketing;Xero;ERP;paie;APIs diverses,niche,moyen,mixte,100-250 €/mois,1
C-035,aucune traçabilité des accès aux biens immobiliers via lockbox,"agent immobilier ou gestionnaire locatif (contexte US), agence 1-20 personnes","gestion des accès aux biens (visites, interventions, livraisons)",hardware IoT (lockbox caméra/micro);calendrier;SMS/notifications,niche,faible,dashboard,20-40 €/mois par agent (+ hardware),1
C-038,"factures envoyées au mauvais moment et mauvais format, paiements retardés","freelance ou dirigeant de petite agence de services, 1-10 personnes","facturation client et recouvrement (timing, format, relances)",facturation (Stripe/QuickBooks);email;CRM,generique,fort,conversationnel,20-50 €/mois,1
C-040,suivi des freelances payés 600$+ et de leurs formulaires 1099 pénible,"gérant de petite entreprise US employant des contractors, 1-20 salariés",paiement des freelances et administration fiscale (1099),banque/paiements;comptabilité;e-file IRS;email,generique,moyen,mixte,30-60 €/mois,1
C-046,"3e ticket du même client, l'agent support n'a aucun contexte","gérant de boutique Shopify avec support partagé, 1-10 personnes",support client e-commerce (continuité de contexte entre tickets),Shopify;helpdesk (Gorgias/Zendesk);email,niche,fort,conversationnel,40-80 €/mois,1
C-048,connexion Shopify-ERP réclamée (+172% de recherches),"responsable opérations d'un e-commerçant Shopify équipé d'un ERP, 10-100 salariés",synchronisation commandes/stocks/factures Shopify ↔ ERP,Shopify API;ERP (Sage/Dynamics/SAP B1);comptabilité,niche,faible,dashboard,100-300 €/mois,1
C-049,équipe boutique sans alertes commandes temps réel ni assignation de tâches,"gérant de boutique Shopify avec équipe magasin/logistique, 3-20 personnes","coordination interne des équipes boutique (alertes commandes, tâches)",Shopify;messagerie équipe (Slack/WhatsApp);gestion de tâches,niche,faible,dashboard,30-80 €/mois,1
