id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
E-030,Aucun suivi quotidien de la performance des posts LinkedIn,"consultant/créateur de contenu B2B indépendant (FR), solo ou petite agence 1-5 pers.",création et pilotage de contenu LinkedIn,LinkedIn API (Unipile),generique,faible,dashboard,15-30 €/mois,1
E-031,Veille manuelle intenable du contenu concurrents et influenceurs LinkedIn,"responsable marketing/growth PME B2B ou consultant solo (FR), 1-20 pers.",veille concurrentielle et éditoriale LinkedIn,LinkedIn API (Unipile),generique,moyen,mixte,20-40 €/mois,1
E-032,Accroches de prospection à plat faute de connaître l'activité récente du prospect,"commercial/SDR ou indépendant B2B LinkedIn (FR), 1-20 pers.",préparation d'approche commerciale (icebreaker),LinkedIn API (Unipile);CRM,generique,fort,conversationnel,30-50 €/mois,1
E-033,Visiteurs du profil LinkedIn jamais convertis en leads entrants,"indépendant/fondateur B2B en prospection LinkedIn (FR), 1-10 pers.",génération de leads entrants LinkedIn,LinkedIn API (Unipile);CRM,generique,moyen,mixte,20-40 €/mois,1
E-034,Impossible d'exporter son réseau LinkedIn complet en tableau exploitable,"indépendant/commercial B2B gérant son réseau LinkedIn (FR), 1-10 pers.",exploitation du réseau relationnel (CRM personnel),LinkedIn API (Unipile);Google Sheets/CSV,generique,moyen,conversationnel,10-20 €/mois,1
E-035,Aucune visibilité structurée sur abonnés et abonnements LinkedIn,"créateur de contenu/consultant B2B indépendant (FR), solo",gestion d'audience LinkedIn,LinkedIn API (Unipile),generique,moyen,mixte,10-20 €/mois,1
E-036,"Gestion fastidieuse des suivis, désabonnements et blocages LinkedIn membre par membre","créateur de contenu/commercial B2B actif sur LinkedIn (FR), solo",hygiène et curation du réseau LinkedIn,LinkedIn API (Unipile),generique,moyen,conversationnel,5-15 €/mois,1
E-037,Entretenir ses relations LinkedIn (recommandations de compétences) demande un effort manuel constant,"indépendant/commercial B2B en nurturing relationnel (FR), solo",nurturing du réseau professionnel,LinkedIn API (Unipile),generique,moyen,conversationnel,10-20 €/mois,1
E-038,Pas de moyen léger de se rappeler au bon souvenir d'un prospect,"commercial/SDR ou indépendant B2B (FR), 1-10 pers.",réchauffage de prospects avant prise de contact,LinkedIn API (Unipile),generique,moyen,conversationnel,15-30 €/mois,1
E-039,"Messagerie LinkedIn en silo, coupée des outils et de l'assistant IA","indépendant/commercial B2B pilotant sa prospection via assistant IA (FR), solo",gestion de la messagerie commerciale LinkedIn,LinkedIn API (Unipile);assistant IA (MCP),generique,fort,conversationnel,20-40 €/mois,1
E-040,Réponses LinkedIn des prospects découvertes des heures trop tard,"commercial/SDR B2B en prospection active (FR), 1-10 pers.",suivi des réponses en prospection sortante,LinkedIn API (Unipile);Slack/email,generique,faible,mixte,10-25 €/mois,1
E-041,Impossible d'envoyer automatiquement des documents en message LinkedIn,"commercial B2B envoyant plaquettes/devis via LinkedIn (FR), 1-10 pers.",envoi de supports commerciaux en messagerie,LinkedIn API (Unipile);Drive,generique,moyen,conversationnel,10-20 €/mois,1
E-042,Retour obligatoire dans LinkedIn pour la moindre action sur les messages,"indépendant/commercial B2B multi-outils (FR), solo",gestion quotidienne de la messagerie LinkedIn,LinkedIn API (Unipile),generique,fort,conversationnel,15-30 €/mois,1
