id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
D-001,ressaisie manuelle des factures fournisseurs dans l'ERP par un salarié dédié,"DAF ou responsable comptable de PME française, 10-100 salariés, tous secteurs à volume de factures fournisseurs","comptabilité fournisseurs (réception, saisie, imputation dans l'ERP)","email;OCR factures PDF;logiciel comptable/ERP (Sage, Cegid, Pennylane)",generique,moyen,mixte,200-500€/mois (fraction du coût d'un salarié dédié),44
D-044,data entry clerk payé pour transférer documents papier en base et tableurs,"office manager ou dirigeant de PME américaine, 10-50 salariés, back-office administratif",saisie de données back-office (documents papier vers base en ligne et tableurs),"OCR/scan;tableurs (Excel, Google Sheets);base de données métier",generique,moyen,mixte,200-400$/mois,36
D-047,"appointment setter salarié pour appels sortants, prise de RDV et saisie CRM","directeur commercial ou patron de PME américaine avec équipe de vente, 5-50 salariés",prospection téléphonique sortante et prise de rendez-vous commerciaux,CRM;calendrier;téléphonie/voix;email,generique,faible,mixte,300-800$/mois,15
D-016,mise à jour continue des plannings d'intervenants à domicile et remplacements,"directeur de structure d'aide à domicile (SAAD) française, 20-100 intervenants",planification des interventions à domicile et gestion des absences/remplacements,"logiciel de planning métier (Octime, Ximi);SMS/téléphonie;RH (absences, congés)",niche,moyen,mixte,150-400€/mois,10
D-048,saisie des annonces immobilières dans le MLS et suivi des transactions,"broker dirigeant d'agence immobilière américaine, 5-30 agents",publication des annonces dans le MLS et suivi administratif des transactions,MLS;CRM immobilier;email;stockage documents/photos,niche,fort,mixte,200-500$/mois,9
C-042,surventes multi-canaux faute de sync des stocks entre Shopify et autres canaux,"micro-commerçant multicanal (Shopify + boutique/marchés/Etsy), 1-5 personnes",synchronisation des stocks entre canaux de vente,Shopify;Etsy;POS (Square);marketplaces,niche,faible,dashboard,"20-50€/mois (micro-vendeurs, budget serré)",7
D-009,"facturation B2B récurrente et chasse aux paiements par mail, courrier, téléphone","DAF ou dirigeant de PME B2B française (services, restauration collective), 20-200 salariés",facturation clients B2B et recouvrement amiable,"facturation/compta (Sage, Pennylane);email;banque;téléphone",generique,fort,mixte,200-500€/mois,7
D-023,"quittancement, comptes locataires, révisions de loyer et relances en gestion locative","gérant de cabinet d'administration de biens français, 2-15 collaborateurs","gestion locative (quittancement, comptes locataires, révisions de loyer, relances)",logiciel de gestion locative;banque;email;compta,niche,fort,mixte,300-800€/mois,6
D-031,ordres de réparation et dossiers de garantie constructeur saisis manuellement,"patron de concession ou garage automobile français, 5-50 salariés","après-vente atelier (ordres de réparation, facturation, dossiers de garantie constructeur)",DMS atelier;portails garantie constructeurs;facturation;email,niche,moyen,mixte,150-400€/mois,6
D-037,préparation et saisie de la liasse documentaire export à chaque expédition,"dirigeant de PME import-export ou industrielle française, 10-100 salariés",constitution de la liasse documentaire export et déclarations douanières,ERP;douane (Delta);transitaires;email;OCR documents,niche,fort,mixte,200-500€/mois,6
D-038,préparation des convocations d'AG de copropriété et diffusion des PV,"gérant de cabinet de syndic de copropriété français, 5-30 collaborateurs","préparation des AG de copropriété (convocations, tenue, PV, diffusion)",logiciel syndic;email/recommandé électronique (AR24);stockage documents,niche,fort,mixte,300-800€/mois,6
B-001,"ATS Bullhorn hors de prix, implémentation coûteuse, +20% au renouvellement","dirigeant d'agence de staffing/recrutement, 5-50 consultants (marché anglo-saxon)",gestion du cycle candidats/clients dans l'ATS d'agence,ATS (Bullhorn);email;LinkedIn,niche,moyen,mixte,100-300€/mois (alternative ATS légère),5
D-010,chargé de recouvrement temps plein pour relancer les impayés dossier par dossier,"DAF ou credit manager de PME française, 50-250 salariés, volume d'impayés B2B/B2C",recouvrement amiable des créances clients,compta (balance âgée);email;téléphone;courrier,generique,fort,mixte,300-700€/mois,5
D-012,"émission de 150-200 factures/mois, saisie commandes et relances impayés","DAF ou dirigeant de PME française (services/BTP avec sous-traitance), 20-100 salariés","administration des ventes (commandes, facturation, relances)",ERP/facturation;email;compta,generique,fort,mixte,200-500€/mois,5
D-018,collecte et saisie mensuelle des variables de paie de chaque salarié,"responsable RH de PME française 50-250 salariés, ou pôle social de cabinet comptable",collecte et saisie des variables de paie mensuelles,"logiciel de paie (Silae, PayFit);planning/pointage;email",generique,moyen,mixte,200-500€/mois,5
D-021,"inscriptions, conventions, convocations et dossiers stagiaires à chaque session de formation","dirigeant d'organisme de formation français, 2-20 salariés",administration des sessions de formation (inscription à facturation),logiciel OF (Digiforma);email;CPF/EDOF et OPCO;facturation;calendrier,niche,fort,mixte,150-400€/mois,5
D-033,"mise à jour manuelle des tableaux de bord Excel, exports et reporting","dirigeant ou DAF de PME française, 10-100 salariés","reporting de gestion (exports d'outils, consolidation dans tableaux de bord Excel)",Excel/Google Sheets;ERP/compta;banque,generique,moyen,mixte,100-300€/mois,5
D-039,contrats de mission et relevés d'heures intérimaires saisis chaque semaine,"directeur d'agence d'intérim indépendante française, 2-10 permanents",contrats de mission et saisie des relevés d'heures intérimaires,logiciel de gestion d'intérim;OCR relevés d'heures;email;paie,niche,fort,mixte,200-500€/mois,5
B-002,UI ATS datée imposant double saisie et workflows lourds aux recruteurs,"dirigeant d'agence de recrutement utilisatrice de Bullhorn, 5-50 recruteurs",saisie et mise à jour candidats/clients dans l'ATS,ATS (Bullhorn);email;LinkedIn,niche,fort,conversationnel,50-150€/mois par agence (couche d'automatisation),4
B-020,logiciel gestion locative facturé ~4x le tarif unitaire pour petit portefeuille,"petit gestionnaire immobilier ou bailleur américain, moins de 50 lots, 1-5 personnes","gestion locative d'un petit portefeuille (loyers, locataires, maintenance)",banque;email;compta;signature électronique,niche,moyen,mixte,50-100$/mois,4
B-031,"field service à 245-500$/tech/mois, plus cher que les gains générés","patron de petite entreprise HVAC/plomberie américaine, 2-10 techniciens","gestion des interventions terrain (devis, dispatch, facturation)",calendrier;QuickBooks;SMS/téléphonie;paiements,niche,moyen,mixte,100-250$/mois,4
C-024,"opérations pilotées sur tableurs, peur de changer d'outil (coût, apprentissage)","dirigeant de TPE/PME tous secteurs, 2-50 salariés, opérations pilotées sur tableurs","opérations quotidiennes gérées dans des tableurs (stocks, plannings, suivis)",Excel/Google Sheets;email,generique,fort,conversationnel,50-150€/mois,4
C-044,2-3h/jour à répondre aux questions 'où est ma commande' et retours,"e-commerçant Shopify, 1-10 personnes, volume de commandes soutenu","support client e-commerce (suivi de commande, retours)",Shopify;helpdesk/email;transporteurs (tracking);WhatsApp,niche,moyen,mixte,50-150€/mois,4
D-006,saisie et pointage des pièces clients puis préparation TVA en cabinet comptable,"expert-comptable gérant de cabinet français, 5-30 collaborateurs","production comptable en cabinet (saisie des pièces, pointage, préparation TVA)","logiciel de production (ACD, Cegid, Odoo);OCR pièces;banque;portail TVA (impots.gouv)",niche,moyen,mixte,300-800€/mois (multi-dossiers cabinet),4
D-025,saisie des ordres de transport dans le TMS et édition des tournées,"dirigeant de PME de transport routier française, 10-50 conducteurs",saisie des ordres de transport et préparation des tournées,TMS;email (OT clients);télématique,niche,moyen,mixte,200-500€/mois,4
D-027,"suivi des situations de travaux, bons de commande et sous-traitance par chantier","dirigeant de PME du BTP française, 10-80 salariés","suivi administratif de chantier (situations, bons de commande, sous-traitance)",ERP BTP;Excel;email;Chorus Pro,niche,fort,mixte,200-500€/mois,4
D-040,"DPAE, heures d'intérim, contrôle factures d'agence et dossiers du personnel","responsable RH de PME industrielle/logistique française, 50-250 salariés","administration du personnel (DPAE, intérim, attestations, DSN)",URSSAF/net-entreprises;SIRH/paie;portails agences d'intérim;email,generique,moyen,mixte,150-400€/mois,4
D-053,saisie comptable externalisée à un opérateur freelance payé à la tâche,"expert-comptable de petit cabinet ou dirigeant de TPE française externalisant la saisie, 1-10 personnes",saisie comptable externalisée,OCR pièces;logiciel comptable;email/Drive,niche,moyen,mixte,100-300€/mois,4
A-051,RH de 600+ salariés sur 10 sites gérées sur papier sans SIRH,"DRH ou RH solo d'entreprise multi-sites de 600+ salariés (contexte anglo-saxon, secteurs à main-d'œuvre)","administration RH multi-sites (dossiers salariés, suivis réglementaires)",paie;tableurs;email;stockage documents,generique,moyen,mixte,300-800€/mois (à l'échelle 600 salariés),3
